year,college,college_short,college_type,district,branch,community,quota,cutoff_mark
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Civil Engineering,MBC,General,90.0
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Civil Engineering,SC,General,88.0
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Mechanical Engineering,OC,General,137.0
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Mechanical Engineering,BC,General,122.5
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Mechanical Engineering,BCM,General,107.0
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Mechanical Engineering,MBC,General,101.5
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Mechanical Engineering,SC,General,112.0
2023,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Mechanical Engineering,SCA,General,127.0
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Mechanical Engineering,OC,General,130.5
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Mechanical Engineering,BC,General,91.5
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Mechanical Engineering,MBC,General,112.5
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Mechanical Engineering,SC,General,98.5
2022,Anna University Regional Campus Madurai,AU Madurai,Government,Madurai,Mechanical Engineering,SCA,General,109.5
2023,Anna University Regional Campus Coimbatore,AU Coimbatore,Government,Coimbatore,Computer Science and Engineering,OC,General,186.0
2023,Anna University Regional Campus Coimbatore,AU Coimbatore,Government,Coimbatore,Computer Science and Engineering,BC,General,175.5
2023,Anna University Regional Campus Coimbatore,AU Coimbatore,Government,Coimbatore,Computer Science and Engineering,BCM,General,180.0
2023,Anna University Regional Campus Coimbatore,AU Coimbatore,Government,Coimbatore,Computer Science and Engineering,MBC,General,178.0
2023,Anna University Regional Campus Coimbatore,AU Coimbatore,Government,Coimbatore,Computer Science and Engineering,SC,General,164.5
2023,Anna University Regional Campus Coimbatore,AU Coimbatore,Government,Coimbatore,Computer Science and Engineering,SCA,General,161.0
2023,Anna University Regional Campus Coimbatore,AU Coimbatore,Government,Coimbatore,Computer Science and Engineering,ST,General,155.0
2022,Anna University Regional Campus Coimbatore,AU Coimbatore,Government,Coimbatore,Computer Science and Engineering,OC,General,188.0
2022,Anna University Regional Campus Coimbatore,AU Coimbatore,Government,Coimbatore,Computer Science and Engineering,BC,General,185.0
2022,Anna University Regional Campus Coimbatore,AU Coimbatore,Government,Coimbatore,Computer Science and Engineering,BCM,General,180.0
2022,Anna University Regional Campus Coimbatore,AU Coimbatore,Government,Coimbatore,Computer Science and Engineering,MBC,General,185.5
2022,Anna University Regional Campus Coimbatore,AU Coimbatore,Government,Coimbatore,Computer Science and Engineering,SC,General,169.73
2022,Anna University Regional Campus Coimbatore,AU Coimbatore,Government,Coimbatore,Computer Science and Engineering,SCA,General,147.19
